lot_address,road_address,mart_name,mart_type,longitude,latitude
서울특별시 송파구 방이2동 63번지 11호,서울특별시 송파구 올림픽로32길 20 (방이동),롯데쇼핑(주)롯데슈퍼방이점,구분없음,127.1062196423701,37.514188956750615
서울특별시 송파구 잠실2동 19번지 8호,서울특별시 송파구 올림픽로 111 (잠실동),롯데쇼핑(주)롯데슈퍼신천점,구분없음,127.080129683177,37.512148145440456
서울특별시 강서구 마곡동 739-4 마곡헤리움1차,"서울특별시 강서구 마곡서1로 115-1, 마곡헤리움1차 111~114호 (마곡동)",GS THE FRESH 신방화역점,그 밖의 대규모점포,126.81567659581184,37.566712699927365
서울특별시 강북구 미아동 1357번지 6호,서울특별시 강북구 삼양로27길 35-21 (미아동),㈜지에스리테일 GS수퍼 강북미아점,구분없음,127.01604929948924,37.61794946600524
서울특별시 용산구 이태원동 254-5 일각빌딩,"서울특별시 용산구 회나무로13길 20-4, 일각빌딩 1층 (이태원동)",이마트에브리데이 이태원점,구분없음,126.98697445644406,37.54027949249583
서울특별시 서대문구 남가좌동 381 DMC센트레빌,"서울특별시 서대문구 거북골로 120(남가좌동, DMC센트레빌)",롯데슈퍼 남가좌점,복합쇼핑몰,126.91276909766634,37.57597383961061
서울특별시 종로구 낙원동 288번지 낙원상가,"서울특별시 종로구 삼일대로 428, 낙원상가 506호 (낙원동)",낙원상가,그 밖의 대규모점포,126.98475456657394,37.57221697499566
서울특별시 종로구 낙원동 288번지 낙원상가,"서울특별시 종로구 삼일대로 428, 낙원상가 (낙원동)",낙원상가,그 밖의 대규모점포,126.98475456657394,37.57221697499566
,"서울특별시 강남구 언주로 123 (도곡동, 개포한신아파트)",롯데슈퍼 도곡점,구분없음,127.04600702578264,37.486889874472105
서울특별시 종로구 예지동 6번지 1호,서울특별시 종로구 창경궁로 88 (예지동),광장시장,복합쇼핑몰,126.99605745634798,37.57005464817025
서울특별시 강남구 역삼동 796번지 22  호,서울특별시 강남구 역삼로52길 14 (역삼동),역삼시장,시장,127.04505874319136,37.498529441968905
서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층,서울특별시 종로구 종로 347 (숭인동),홈플러스(주)익스프레스 숭인점,구분없음,127.01328775838935,37.57385170488804
서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가,"서울특별시 종로구 종로 266, 동대문종합시장D동상가  동 (종로6가)",동대문종합시장D동상가,그 밖의 대규모점포,127.00445648252165,37.57060610984493
서울특별시 종로구 서린동 33번지 영풍빌딩,서울특별시 종로구 청계천로 41 (서린동),(주)영풍문고,전문점,126.97924145046336,37.5695798364841
   호   ,,종로세운상가,대형마트,,
서울특별시 종로구 인의동 48번지 2호,"서울특별시 종로구 종로 183 (인의동, 효성주얼리시티)",효성주얼리시티,그 밖의 대규모점포,126.9957766270017,37.57148288658324
서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신,"서울특별시 종로구 지봉로 81 (창신동, 브라운스톤 창신)",브라운스톤 창신상가,그 밖의 대규모점포,127.01213974242292,37.57737897010399
서울특별시 종로구 종로6가 289번지 3 호,서울특별시 종로구 종로 266 (종로6가),동대문종합시장,그 밖의 대규모점포,127.0060223981139,37.57039444707672
서울특별시 종로구 종로6가 289번지 57호,서울특별시 종로구 종로 272 (종로6가),동대문종합시장 신관,그 밖의 대규모점포,127.00522173818904,37.57078101683115
서울특별시 종로구 종로1가 1번지,서울특별시 종로구 종로 1 (종로1가),종로1번지아케이트,전문점,126.97518977011842,37.57058240188763
,서울특별시 종로구 종로44길 14 (창신동),동문시장,시장,127.00849775539244,37.570449033048895
서울특별시 종로구 인의동 112번지 2호,서울특별시 종로구 창경궁로 109 (인의동),세운스퀘어,그 밖의 대규모점포,126.99417337725195,37.57228585723755
서울특별시 종로구 신문로1가 24번지  고려빌딩 1층,"서울특별시  새문안로 91, 1층 (고려빌딩)",홈플러스(주)익스프레스 광화문점,복합쇼핑몰,126.97186332603988,37.57048749523897
서울특별시 종로구 예지동 6번지 1호,,광장주식회사,시장,126.99605745634798,37.57005464817025
서울특별시 종로구 서린동 33호   ,,영풍문고,대형마트,126.97924145046336,37.5695798364841
서울특별시 종로구 창신동 436번지 79  호   ,,동대문신발도매상가,그 밖의 대규모점포,,
서울특별시 종로구 숭인동 206-9 신설종합시장 숭인동,"서울특별시 종로구 난계로27길 51, 신설종합시장 숭인동 (숭인동)",신설종합시장,시장,127.01745478508404,37.572668668533794
서울특별시 종로구 숭인동 206-9 신설종합시장,"서울특별시 종로구 난계로27길 51, 신설종합시장 (숭인동)",신설종합시장(주),그 밖의 대규모점포,127.01745478508404,37.572668668533794
서울특별시 종로구 무악동 82 무악현대아파트,"서울특별시 종로구 통일로 246-10, 무악현대아파트 지하 1층 (무악동)",GS THE FRESH 무악현대점,구분없음,126.9579143487208,37.57538155227624
서울특별시 종로구 종로3가 175번지 4호   ,,종로세운상가,그 밖의 대규모점포,,
서울특별시 종로구 종로3가 175번지 4호   ,,종로세운상가,그 밖의 대규모점포,,
