school_name,school_level,lot_address,road_address,latitude,longitude
노동초등학교,초등학교,전라남도 보성군 노동면 거석리 522,전라남도 보성군 노동면 거석길 218,34.82428089,127.0485426
광주서림초등학교,초등학교,광주광역시 북구 임동 32-1,광주광역시 북구 서림로 113,35.16188253,126.8995866
대림중학교,중학교,서울특별시 영등포구 대림동 959,서울특별시 영등포구 시흥대로185길 6,37.49231887,126.9074673
제주외국어고등학교,고등학교,제주특별자치도 제주시 애월읍 고성리 94,제주특별자치도 제주시 애월읍 고성남길 34,33.43397575,126.4259791
새본리중학교,중학교,대구광역시 달서구 본리동 330-1,대구광역시 달서구 대명천로 167,35.83942395,128.5409604
이리영등초등학교,초등학교,전북특별자치도 익산시 영등동 762,전북특별자치도 익산시 동서로41길 37,35.95300377,126.9723737
예산여자중학교,중학교,충청남도 예산군 예산읍 발연리 135-5,충청남도 예산군 예산읍 벚꽃로 197-17,36.69854439,126.8349439
삼성현초등학교,초등학교,경상북도 경산시 백천동 438-3,경상북도 경산시 경청로216길 20,35.79990067,128.7395072
정곡초등학교,초등학교,경상남도 의령군 정곡면 중교리 428-1,경상남도 의령군 정곡면 법정로 937-6,35.37981854,128.3246693
대전죽동초등학교,초등학교,대전광역시 유성구 죽동 689,대전광역시 유성구 죽동로 52,36.37040016,127.3356321
운양초등학교,초등학교,강원특별자치도 강릉시 사천면 판교리 91,강원특별자치도 강릉시 사천면 이설당1길 36,37.83710042,128.8586163
상동고등학교,고등학교,경기도 부천시 원미구 상동 620-1,경기도 부천시 원미구 상이로 22,37.49062565,126.7450659
천안부성초등학교,초등학교,충청남도 천안시 서북구 두정동 956,충청남도 천안시 서북구 부성1길 16,36.83524216,127.1366621
정산고등학교,고등학교,충청남도 청양군 정산면 서정리 91-1,충청남도 청양군 정산면 칠갑산로 1897,36.41385157,126.9502066
상장초등학교,초등학교,강원특별자치도 태백시 황지동 123-1,강원특별자치도 태백시 태백로 1223,37.14934577,128.9935072
대성여자고등학교,고등학교,광주광역시 남구 진월동 산218-1,광주광역시 남구 서문대로663번길 37,35.1194595,126.8929965
통진초등학교,초등학교,경기도 김포시 통진읍 서암리 1108,경기도 김포시 통진읍 조강로 116,37.69388578,126.5944372
서산부춘중학교,중학교,충청남도 서산시 읍내동 585-1,충청남도 서산시 부춘2로 42,36.78615605,126.4435333
명지초등학교,초등학교,충청남도 서산시 대산읍 대로리 278,충청남도 서산시 대산읍 명지3로 25,36.97168634,126.4100648
삼성초등학교,초등학교,강원특별자치도 태백시 장성동 32-2,강원특별자치도 태백시 평화길 44,37.09757635,129.0235889
방기초등학교,초등학교,울산광역시 울주군 삼남면 방기리 117,울산광역시 울주군 삼남읍 하방로 56,35.50704614,129.0930186
신진과학기술고등학교,고등학교,서울특별시 은평구 응암동 114-1,서울특별시 은평구 은평로6길 16,37.59871385,126.9188364
은진초등학교,초등학교,충청남도 논산시 은진면 연서리 185,충청남도 논산시 은진면 매죽헌로25번길 1,36.16833554,127.1066773
부산국제중학교,중학교,부산광역시 부산진구 당감동 897,부산광역시 부산진구 백양관문로 105-70,35.16729182,129.0234526
안산초등학교,초등학교,경기도 안산시 상록구 수암동 177,경기도 안산시 상록구 수암2길 13-7,37.36495969,126.8781241
단성중학교,중학교,경상남도 산청군 단성면 강누리 41-1,경상남도 산청군 단성면 강누방목로 2,35.30639183,127.9643023
대전장대초등학교,초등학교,대전광역시 유성구 장대동 348,대전광역시 유성구 문화원로19번길 16,36.36192355,127.3396123
북내초등학교도전분교장,초등학교,경기도 여주시 강천면 도전리 776-1,경기도 여주시 강천면 원양1로 716,37.33721014,127.7511112
쌍계초등학교,초등학교,경상남도 하동군 화개면 운수리 328-26,경상남도 하동군 화개면 쌍계사길 27-21,35.23212388,127.6445912
세종예술고등학교,고등학교,세종특별자치시 연기면 세종리 551-2,세종특별자치시 중앙공원서로 60,36.49034261,127.2692595
상산고등학교,고등학교,전북특별자치도 전주시 완산구 효자동1가 260,전북특별자치도 전주시 완산구 거마평로 130,35.80508487,127.1197274
울산미용예술고등학교,고등학교,울산광역시 울주군 웅촌면 곡천리 408,울산광역시 울주군 웅촌면 학교길 26,35.46555847,129.2047008
광양북초등학교,초등학교,전라남도 광양시 광양읍 목성리 494-4,전라남도 광양시 광양읍 유당로 60-1,34.97691665,127.5938584
연평초등학교,초등학교,인천광역시 옹진군 연평면 연평리 437-1,인천광역시 옹진군 연평면 연평로137번길 101,37.66412421,125.7010233
창원명곡고등학교,고등학교,경상남도 창원시 의창구 명곡동 24-5,경상남도 창원시 의창구 서곡길25번길 16,35.25456647,128.6488225
근명중학교,중학교,경기도 안양시 만안구 안양동 708-197,경기도 안양시 만안구 삼덕로 49,37.39354124,126.9200136
회원초등학교,초등학교,경상남도 창원시 마산회원구 회원동 393-1,경상남도 창원시 마산회원구 회원남로 51,35.21982858,128.5667167
삼가초등학교,초등학교,경기도 용인시 처인구 삼가동 555,경기도 용인시 처인구 중부대로1158번길 45,37.23671162,127.170492
대전외국어고등학교,고등학교,대전광역시 서구 내동 220-13,대전광역시 서구 신갈마로 19,36.33658566,127.3656242
옥봉초등학교,초등학교,전북특별자치도 군산시 옥서면 옥봉리 88,전북특별자치도 군산시 옥서면 옥봉초교길 29,35.92704123,126.641888
계성고등학교,고등학교,서울특별시 성북구 길음동 1284-15,서울특별시 성북구 길음로 63,37.6074936,127.0201836
서울은명초등학교,초등학교,서울특별시 은평구 응암동 114-12,서울특별시 은평구 은평로4길 21-9,37.59769681,126.9182757
고리울초등학교,초등학교,경기도 부천시 오정구 고강동 325-4,경기도 부천시 오정구 고리울로 93,37.52724793,126.8271472
군산용문초등학교,초등학교,전북특별자치도 군산시 미룡동 898-8,전북특별자치도 군산시 미룡로 32-8,35.94228639,126.6886769
도고중학교,중학교,충청남도 아산시 도고면 시전리 159,충청남도 아산시 도고면 도고산로 573,36.74268762,126.9018017
서울상일초등학교,초등학교,서울특별시 강동구 상일동 325-1,서울특별시 강동구 천호대로 1477,37.54757217,127.1726635
기성초등학교길헌분교장,초등학교,대전광역시 서구 평촌동 297,대전광역시 서구 당고개길 48,36.24171224,127.3163418
오정중학교,중학교,대전광역시 대덕구 오정동 327-2,대전광역시 대덕구 한남로150번길 135,36.35152036,127.4080876
거제옥포고등학교,고등학교,경상남도 거제시 옥포동 1254-1,경상남도 거제시 연초면 국산로 27,34.90540807,128.6859882
대구운암초등학교,초등학교,대구광역시 북구 구암동 789-4,대구광역시 북구 대천로 148,35.93560291,128.565682
엄정초등학교,초등학교,충청북도 충주시 엄정면 미내리 157,충청북도 충주시 엄정면 내창로 199-5,37.08774786,127.916148
대구동평초등학교,초등학교,대구광역시 북구 동천동 915-1,대구광역시 북구 동천로 84,35.93900005,128.5608205
왕배초등학교,초등학교,경기도 화성시 목동 444-1,경기도 화성시 동탄대로12길 101,37.18017972,127.1135952
마재초등학교,초등학교,광주광역시 서구 금호동 788,광주광역시 서구 마재로 27,35.1309354,126.8629852
솔샘고등학교,고등학교,서울특별시 강북구 미아동 837-734,서울특별시 강북구 인수봉로 39,37.62366717,127.0121354
도당고등학교,고등학교,경기도 부천시 원미구 도당동 64,경기도 부천시 원미구 삼작로256번길 53-3,37.51862256,126.7909608
정읍북초등학교,초등학교,전북특별자치도 정읍시 농소동 14-1,전북특별자치도 정읍시 명덕1길 41,35.57908609,126.8490501
한림공업고등학교,고등학교,제주특별자치도 제주시 한림읍 한림리 871,제주특별자치도 제주시 한림읍 한림중앙로 87,33.40652604,126.2699123
순창중학교,중학교,전북특별자치도 순창군 순창읍 남계리 111,전북특별자치도 순창군 순창읍 담순로 1418,35.37692157,127.1523716
공현진초등학교,초등학교,강원특별자치도 고성군 죽왕면 공현진리 334,강원특별자치도 고성군 죽왕면 공현진한옥길 49,38.35457469,128.5076301
숙명여자고등학교,고등학교,서울특별시 강남구 도곡동 91,서울특별시 강남구 남부순환로 2807,37.49147536,127.0526126
강릉중학교,중학교,강원특별자치도 강릉시 입암동 497,강원특별자치도 강릉시 강중길44번길 8,37.75361977,128.9089302
거성중학교,중학교,부산광역시 연제구 거제동 643-173,부산광역시 연제구 해맞이로109번길 61,35.18274207,129.0666625
월계초등학교,초등학교,울산광역시 남구 무거동 488-11,울산광역시 남구 옥현로 12,35.53866731,129.2580704
풍산초등학교,초등학교,강원특별자치도 화천군 화천읍 풍산리 764-5,강원특별자치도 화천군 화천읍 평화로 1284,38.14775096,127.7414389
무봉초등학교,초등학교,경기도 화성시 청계동 549,경기도 화성시 동탄청계로 303-34,37.20298743,127.1168058
부천동중학교,중학교,경기도 부천시 소사구 괴안동 171-15,경기도 부천시 소사구 경인로484번길 36,37.48077502,126.8102137
웃터골초등학교,초등학교,경기도 시흥시 은행동 94-11,경기도 시흥시 은행고길 18,37.43968236,126.7992598
판교중학교,중학교,충청남도 서천군 판교면 현암리 249,충청남도 서천군 판교면 종판로887번길 39-7,36.15664094,126.6873122
풍남초등학교,초등학교,전라남도 고흥군 풍양면 풍남리 955-1,전라남도 고흥군 풍양면 풍남로 716,34.52363116,127.2445032
신도초등학교,초등학교,충청남도 계룡시 엄사면 엄사리 232-92,충청남도 계룡시 엄사면 번영3길 82,36.28215807,127.2362853
증포중학교,중학교,경기도 이천시 증포동 476,경기도 이천시 애련정로 218,37.28807095,127.4555511
